timestamp_computer,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_pupil_diameter,right_pupil_validity,right_pupil_diameter,right_pupil_validity
1611163760.2069743,"(0.1266339123249054, 0.7844062447547913)","(0.13897930085659027, 0.7554442286491394)",4.8492279052734375,1,4.5707855224609375,1
1611163760.2359917,"(0.12719087302684784, 0.7856106162071228)","(0.1377803534269333, 0.759750485420227)",4.8472747802734375,1,4.57830810546875,1
1611163760.2649128,"(0.12788420915603638, 0.7836991548538208)","(0.13824865221977234, 0.7606185078620911)",4.85211181640625,1,4.5788116455078125,1
1611163760.2888494,"(0.12843073904514313, 0.7815075516700745)","(0.13896112143993378, 0.7652822732925415)",4.849456787109375,1,4.5761260986328125,1
1611163760.3107903,"(0.1275908648967743, 0.7838645577430725)","(0.14052724838256836, 0.7605966329574585)",4.848175048828125,1,4.5698394775390625,1
1611163760.339681,"(0.12764690816402435, 0.7837682366371155)","(0.13997846841812134, 0.7624981999397278)",4.8472137451171875,1,4.56842041015625,1
1611163760.3905766,"(0.12765853106975555, 0.7859288454055786)","(0.13878345489501953, 0.7629039287567139)",4.8442535400390625,1,4.5621337890625,1
1611163760.4434357,"(0.12537430226802826, 0.7856792211532593)","(0.13852345943450928, 0.7622979879379272)",4.8448333740234375,1,4.5600433349609375,1
1611163760.496295,"(0.13529935479164124, 0.7842771410942078)","(0.14995303750038147, 0.7601554989814758)",4.8321380615234375,1,4.5550994873046875,1
1611163760.543169,"(0.15799088776111603, 0.7760125994682312)","(0.18956874310970306, 0.7563621997833252)",4.82501220703125,1,4.5533294677734375,1
1611163760.5780764,"(0.18232744932174683, 0.7676832675933838)","(0.2091251015663147, 0.7586032152175903)",4.818389892578125,1,4.5499420166015625,1
1611163760.6319325,"(0.19039346277713776, 0.764758288860321)","(0.21624892950057983, 0.754523754119873)",4.8200225830078125,1,4.5493927001953125,1
1611163760.6837924,"(0.18956410884857178, 0.7686971426010132)","(0.20862418413162231, 0.7529234290122986)",4.8159027099609375,1,4.5388946533203125,1
1611163760.7376492,"(0.188228577375412, 0.7668967843055725)","(0.20935726165771484, 0.7554337978363037)",4.80560302734375,1,4.5310211181640625,1
1611163760.7905076,"(0.1898362636566162, 0.7680084705352783)","(0.20983459055423737, 0.759202778339386)",4.8011322021484375,1,4.5222320556640625,1
1611163760.8443635,"(0.19142800569534302, 0.7653444409370422)","(0.21574510633945465, 0.7599017024040222)",4.7925262451171875,1,4.510894775390625,1
1611163760.8972218,"(0.19304054975509644, 0.7686549425125122)","(0.21721386909484863, 0.7556397318840027)",4.7907257080078125,1,4.499114990234375,1
1611163760.9510806,"(0.19199350476264954, 0.7726641893386841)","(0.2212001383304596, 0.7525530457496643)",4.7830810546875,1,4.4930267333984375,1
1611163761.00294,"(0.1925089806318283, 0.7714369297027588)","(0.21930848062038422, 0.7536267638206482)",4.775115966796875,1,4.4862213134765625,1
1611163761.0567627,"(0.19353167712688446, 0.7719336748123169)","(0.21782121062278748, 0.7541895508766174)",4.76422119140625,1,4.4822235107421875,1
1611163761.0907052,"(0.19449463486671448, 0.771697998046875)","(0.21674247086048126, 0.7521237134933472)",4.7554779052734375,1,4.473297119140625,1
1611163761.1385715,"(0.19598475098609924, 0.7722895741462708)","(0.21728390455245972, 0.7538264989852905)",4.749603271484375,1,4.4614105224609375,1
1611163761.192436,"(0.19437244534492493, 0.7761645317077637)","(0.2174423336982727, 0.7530764937400818)",4.736541748046875,1,4.4500274658203125,1
1611163761.2442605,"(0.19711437821388245, 0.7785502672195435)","(0.21725910902023315, 0.7541331052780151)",4.741668701171875,1,4.43896484375,1
1611163761.2971528,"(0.19581273198127747, 0.7797569036483765)","(0.21867015957832336, 0.7533725500106812)",4.7252960205078125,1,4.420013427734375,1
1611163761.3500109,"(0.19424980878829956, 0.7695987820625305)","(0.22066974639892578, 0.7565951943397522)",4.71478271484375,1,4.4076080322265625,1
1611163761.379931,"(0.18990777432918549, 0.7647953629493713)","(0.22034166753292084, 0.7621493935585022)",4.6966094970703125,1,4.4022979736328125,1
1611163761.4337869,"(0.1907721906900406, 0.7656868100166321)","(0.21912792325019836, 0.7620849609375)",4.68475341796875,1,4.387359619140625,1
1611163761.4686892,"(0.19208553433418274, 0.7735992670059204)","(0.2194608449935913, 0.7603306770324707)",4.67303466796875,1,4.3777618408203125,1
1611163761.5215518,"(0.19476628303527832, 0.7745132446289062)","(0.22241495549678802, 0.7570056915283203)",4.6699066162109375,1,4.3677520751953125,1
1611163761.5744128,"(0.19429339468479156, 0.7771691083908081)","(0.22205092012882233, 0.7540128827095032)",4.654876708984375,1,4.3545074462890625,1
1611163761.6093173,"(0.19400657713413239, 0.7747491002082825)","(0.22108939290046692, 0.7526577711105347)",4.642913818359375,1,4.3441314697265625,1
1611163761.6611793,"(0.19598287343978882, 0.7787699699401855)","(0.2204125076532364, 0.7535402774810791)",4.632080078125,1,4.32952880859375,1
1611163761.7070558,"(0.19522938132286072, 0.7749748826026917)","(0.21945343911647797, 0.7572337985038757)",4.623504638671875,1,4.311737060546875,1
1611163761.7609127,"(0.1931489109992981, 0.778269350528717)","(0.2191443145275116, 0.7585440278053284)",4.6113739013671875,1,4.3030242919921875,1
1611163761.812776,"(0.18915654718875885, 0.7737120985984802)","(0.21698029339313507, 0.7582232356071472)",4.593414306640625,1,4.2969818115234375,1
1611163761.8656328,"(0.1897043138742447, 0.7756130695343018)","(0.2185410112142563, 0.7582462430000305)",4.582366943359375,1,4.2779541015625,1
1611163761.9174936,"(0.18909695744514465, 0.7730810642242432)","(0.2181732952594757, 0.7564252018928528)",4.58148193359375,1,4.2677001953125,1
1611163761.9713492,"(0.1932155042886734, 0.7735157012939453)","(0.22039847075939178, 0.7560663819313049)",4.5824127197265625,1,4.25701904296875,1
1611163762.002268,"(0.19213451445102692, 0.7759778499603271)","(0.21947424113750458, 0.75312739610672)",4.5699615478515625,1,4.250030517578125,1
1611163762.0541284,"(0.1937345564365387, 0.778145968914032)","(0.21894726157188416, 0.7547498345375061)",4.5623779296875,1,4.240509033203125,1
1611163762.1069872,"(0.18144330382347107, 0.7798126339912415)","(0.20949523150920868, 0.7592860460281372)",4.55096435546875,1,4.2331695556640625,1
1611163762.1598134,"(0.1691889464855194, 0.7829496264457703)","(0.19207128882408142, 0.7619988918304443)",4.54803466796875,1,4.2195587158203125,1
1611163762.2127037,"(0.1639314740896225, 0.7810598015785217)","(0.18830282986164093, 0.7614548802375793)",4.53936767578125,1,4.2140350341796875,1
1611163762.2655292,"(0.1639241725206375, 0.7778328657150269)","(0.19082723557949066, 0.7574285268783569)",4.5260162353515625,1,4.213836669921875,1
1611163762.3114066,"(0.16768726706504822, 0.773580014705658)","(0.19756723940372467, 0.7575172185897827)",4.5293121337890625,1,4.21270751953125,1
1611163762.3643003,"(0.16601166129112244, 0.7744840383529663)","(0.19451333582401276, 0.7546801567077637)",4.5276031494140625,1,4.2076263427734375,1
1611163762.417158,"(0.1652846336364746, 0.776253879070282)","(0.19423118233680725, 0.7540911436080933)",4.534332275390625,1,4.20721435546875,1
1611163762.4520588,"(0.16525311768054962, 0.7761490345001221)","(0.19368593394756317, 0.7556882500648499)",4.5313720703125,1,4.2049407958984375,1
1611163762.5039253,"(0.1639653444290161, 0.7747700810432434)","(0.19296793639659882, 0.7575919032096863)",4.5314788818359375,1,4.202239990234375,1
1611163762.5567834,"(0.16447818279266357, 0.7719277739524841)","(0.191542387008667, 0.7600365281105042)",4.53131103515625,1,4.1996917724609375,1
1611163762.6146305,"(0.16262385249137878, 0.7710524797439575)","(0.19026193022727966, 0.7577000260353088)",4.530242919921875,1,4.1963043212890625,1
1611163762.662502,"(0.16252033412456512, 0.7712291479110718)","(0.19168700277805328, 0.7578049302101135)",4.531463623046875,1,4.2028656005859375,1
1611163762.6964107,"(0.16219943761825562, 0.7738171815872192)","(0.1917622685432434, 0.7585405111312866)",4.527130126953125,1,4.198944091796875,1
1611163762.749274,"(0.1617344319820404, 0.7776160836219788)","(0.1920374631881714, 0.7605528235435486)",4.525543212890625,1,4.1929168701171875,1
1611163762.8031144,"(0.1594083160161972, 0.7790118455886841)","(0.18973909318447113, 0.7597303986549377)",4.5201568603515625,1,4.186126708984375,1
1611163762.8549812,"(0.16028816998004913, 0.7798537611961365)","(0.1879594326019287, 0.7585903406143188)",4.523162841796875,1,4.1880645751953125,1
1611163762.9079778,"(0.16100889444351196, 0.7794269919395447)","(0.1877603530883789, 0.7562183141708374)",4.5197601318359375,1,4.184539794921875,1
1611163762.9598455,"(0.16444437205791473, 0.7815009355545044)","(0.19128702580928802, 0.7549994587898254)",4.52142333984375,1,4.1797943115234375,1
1611163763.0127006,"(0.1815846711397171, 0.7780181765556335)","(0.2155325710773468, 0.7522186040878296)",4.513458251953125,1,4.166778564453125,1
1611163763.064562,"(0.1952085942029953, 0.777239203453064)","(0.29056277871131897, 0.7437257766723633)",4.5158843994140625,1,4.17279052734375,1
1611163763.117422,"(0.30050525069236755, 0.7477733492851257)","(0.356997549533844, 0.7387742400169373)",4.521636962890625,1,4.170806884765625,1
1611163763.1702793,"(0.3663732409477234, 0.7430503368377686)","(0.3918675482273102, 0.7376236319541931)",4.5475921630859375,1,4.1746978759765625,1
1611163763.2231052,"(0.36265045404434204, 0.7395909428596497)","(0.4020911753177643, 0.7390027046203613)",4.523895263671875,1,4.162872314453125,1
1611163763.2759964,"(0.36392977833747864, 0.7367070317268372)","(0.39914581179618835, 0.7402428388595581)",4.51837158203125,1,4.1689910888671875,1
1611163763.3228378,"(0.3662768602371216, 0.7328162789344788)","(0.40113455057144165, 0.7449432611465454)",4.50689697265625,1,4.1718292236328125,1
1611163763.3747327,"(0.3710009753704071, 0.7326846718788147)","(0.41040781140327454, 0.7428638339042664)",4.5055389404296875,1,4.175323486328125,1
1611163763.4285884,"(0.37110158801078796, 0.733747124671936)","(0.40853142738342285, 0.7360005974769592)",4.5050506591796875,1,4.1558837890625,1
1611163763.4824462,"(0.3705870509147644, 0.7362477779388428)","(0.4099253714084625, 0.7319713234901428)",4.5027923583984375,1,4.147857666015625,1
1611163763.5353048,"(0.37139078974723816, 0.7344863414764404)","(0.4093562066555023, 0.7336671948432922)",4.4978485107421875,1,4.1413726806640625,1
1611163763.5951433,"(0.37058714032173157, 0.7354938387870789)","(0.40980803966522217, 0.7363097667694092)",4.4918365478515625,1,4.143768310546875,1
1611163763.6430144,"(0.37268322706222534, 0.733348548412323)","(0.40822237730026245, 0.7380414009094238)",4.4817962646484375,1,4.150421142578125,1
1611163763.7008271,"(0.3724147379398346, 0.7330993413925171)","(0.4091776907444, 0.7389726042747498)",4.4742889404296875,1,4.1416015625,1
1611163763.7477012,"(0.37605857849121094, 0.7370630502700806)","(0.4096626341342926, 0.7411277890205383)",4.4826812744140625,1,4.14453125,1
1611163763.7985983,"(0.37454336881637573, 0.73707115650177)","(0.4119373857975006, 0.7385691404342651)",4.4755096435546875,1,4.131683349609375,1
1611163763.8285184,"(0.3756910264492035, 0.7411550283432007)","(0.41222840547561646, 0.7357341647148132)",4.466339111328125,1,4.120697021484375,1
1611163763.882377,"(0.3765546679496765, 0.738118588924408)","(0.411105751991272, 0.7362339496612549)",4.4427490234375,1,4.106353759765625,1
1611163763.9352365,"(0.3779410719871521, 0.7377930283546448)","(0.4093567132949829, 0.7407748103141785)",4.440765380859375,1,4.106658935546875,1
1611163763.9770877,"(0.37794241309165955, 0.7357633709907532)","(0.40868040919303894, 0.7447158694267273)",4.4269561767578125,1,4.095794677734375,1
1611163764.0279806,"(0.3753964602947235, 0.7335327863693237)","(0.4081219732761383, 0.7418799996376038)",4.4156646728515625,1,4.0857696533203125,1
1611163764.0758498,"(0.37478041648864746, 0.7302061319351196)","(0.4075566828250885, 0.7377454042434692)",4.40325927734375,1,4.0710296630859375,1
1611163764.1297078,"(0.37540093064308167, 0.7300920486450195)","(0.40857699513435364, 0.7355557084083557)",4.393280029296875,1,4.0637664794921875,1
1611163764.1815693,"(0.37606358528137207, 0.7285541296005249)","(0.41059932112693787, 0.7374719381332397)",4.38116455078125,1,4.0565032958984375,1
1611163764.235429,"(0.3758378028869629, 0.7311733365058899)","(0.4106351435184479, 0.7376264929771423)",4.3751678466796875,1,4.052978515625,1
1611163764.2813025,"(0.3749806582927704, 0.7311845421791077)","(0.41053247451782227, 0.7403465509414673)",4.366058349609375,1,4.0422515869140625,1
1611163764.334161,"(0.3763617277145386, 0.7302100658416748)","(0.4101884961128235, 0.7395534515380859)",4.3607025146484375,1,4.049346923828125,1
1611163764.3920062,"(0.377218633890152, 0.7306014895439148)","(0.40910351276397705, 0.7392145991325378)",4.352752685546875,1,4.0411376953125,1
1611163764.4508502,"(0.3784741461277008, 0.7302888035774231)","(0.40912064909935, 0.736735463142395)",4.344512939453125,1,4.0323944091796875,1
1611163764.4967265,"(0.3783019483089447, 0.73448246717453)","(0.4104105830192566, 0.7428002953529358)",4.33502197265625,1,4.0328826904296875,1
1611163764.5505831,"(0.3778493404388428, 0.7326322197914124)","(0.41098737716674805, 0.7429232597351074)",4.33172607421875,1,4.0311431884765625,1
1611163764.6024458,"(0.3767361044883728, 0.7327184081077576)","(0.40976956486701965, 0.7441051006317139)",4.328704833984375,1,4.0225982666015625,1
1611163764.6562724,"(0.37572306394577026, 0.7297722697257996)","(0.40778276324272156, 0.7376736402511597)",4.32904052734375,1,4.0064239501953125,1
1611163764.6912067,"(0.37644991278648376, 0.7322618961334229)","(0.4072783887386322, 0.7392532229423523)",4.327728271484375,1,4.0078125,1
1611163764.7510462,"(0.3782898187637329, 0.7339447140693665)","(0.40956228971481323, 0.7350732684135437)",4.3235015869140625,1,4.0032958984375,1
1611163764.8088968,"(0.37992802262306213, 0.738866925239563)","(0.4122065305709839, 0.7349494695663452)",4.3235321044921875,1,3.9980010986328125,1
1611163764.8617551,"(0.37996906042099, 0.7381048202514648)","(0.41268277168273926, 0.7290768027305603)",4.3189849853515625,1,3.9940338134765625,1
1611163764.9146147,"(0.37869730591773987, 0.7362750172615051)","(0.4106654226779938, 0.7323116064071655)",4.3162078857421875,1,3.9910125732421875,1
1611163764.9674726,"(0.37712037563323975, 0.7316884994506836)","(0.4061901569366455, 0.7340458035469055)",4.3066864013671875,1,3.9961700439453125,1
1611163765.0023816,"(0.37650009989738464, 0.7312082052230835)","(0.40473559498786926, 0.7363697290420532)",4.3076934814453125,1,4.0039520263671875,1
1611163765.0442624,"(0.37676435708999634, 0.7316825985908508)","(0.4067392349243164, 0.7354041337966919)",4.307830810546875,1,4.0032806396484375,1
1611163765.0901394,"(0.37733468413352966, 0.730375349521637)","(0.41035622358322144, 0.7320756316184998)",4.3106536865234375,1,4.0014801025390625,1
1611163765.1300411,"(0.37734854221343994, 0.7309399247169495)","(0.4093673527240753, 0.7309757471084595)",4.3114013671875,1,3.991607666015625,1
1611163765.1838934,"(0.37708619236946106, 0.7260422706604004)","(0.4071653187274933, 0.7286483645439148)",4.3124847412109375,1,3.9913787841796875,1
1611163765.2307682,"(0.3791566789150238, 0.7215884327888489)","(0.4073421359062195, 0.7285313606262207)",4.310333251953125,1,3.9976348876953125,1
